"","x","y","z","group","label","date"
"60",13.7314372938641,12.2385529481734,23705700000,"Equity","Vanguard FTSE All-World ex US Index Fund;ETF","2017/05"
"61",4.0287754821754,0.563692488912082,1.8267e+10,"Bond","Vanguard Intermediate-Term Corp Bond Idx Fund;ETF","2017/05"
"62",12.1107382669444,14.9434918477989,2.6894e+10,"Equity","Vanguard 500 Index Fund;ETF","2017/05"
"63",16.3449952505875,13.1522466486975,21397700000,"Equity","iShares MSCI Japan ETF","2017/05"
"64",13.5526057512896,13.669115081293,11048100000,"Equity","iShares MSCI EAFE Small-Cap ETF","2017/05"
"65",2.64227933716661,-1.46106298166734,12185700000,"Bond","iShares MBS ETF","2017/05"
"66",4.23845929894628,5.75456203257805,14786400000,"Bond","iShares iBoxx $ High Yield Corporate Bond ETF","2017/05"
"67",12.0888610122636,18.0719575395224,12378100000,"Equity","Industrial Select Sector SPDR Fund","2017/05"
"68",2.67550493641264,0.392655875172254,40389200000,"Bond","Vanguard Total International Bond Index Fund;ETF","2017/05"
"69",9.70734076272839,18.0611009587896,4.0041e+10,"Equity","iShares Russell 1000 Growth ETF","2017/05"
"70",0.965985166959481,-0.0615376460800232,10728700000,"Bond","iShares 1-3 Year Credit Bond ETF","2017/05"
"71",15.4327505236803,17.5102994696823,3.7638e+10,"Equity","iShares Core S&P Small-Cap ETF","2017/05"
"72",9.84833656504684,14.9290070720979,19306900000,"Equity","iShares Russell 1000 ETF","2017/05"
"73",12.8247221546311,17.9635178907535,50930200000,"Equity","iShares Core MSCI Emerging Markets ETF","2017/05"
"74",13.18546698021,18.588834053982,42169900000,"Equity","iShares MSCI Emerging Markets ETF","2017/05"
"75",9.06530750844632,18.207354521678,20922600000,"Equity","SPDR Dow Jones Industrial Average ETF Trust","2017/06"
"76",19.056611133712,13.3566782138602,14009500000,"Equity","iShares MSCI Eurozone ETF","2017/06"
"77",9.86552879160438,14.5784833628736,11599100000,"Equity","Schwab US Broad Market ETF","2017/06"
"78",19.3961812327416,15.2815108833396,26989199356,"Equity","Nikko Listed IDX Fund 225","2017/06"
"79",9.62700360352194,15.0344365652739,19794400000,"Equity","iShares S&P 500 Growth ETF","2017/06"
"80",9.57156139431896,13.9710450023451,142638500000,"Equity","iShares Core S&P 500 ETF","2017/06"
"81",10.9203316703952,13.6764304659016,14578600000,"Equity","Guggenheim Invest S&P 500 Eql Wght ETF","2017/06"
"82",12.6032662119664,25.4741419551004,1.8315e+10,"Equity","Vanguard Information Technology Index Fund;ETF","2017/06"
"83",9.55480479393985,14.2666552098379,11939300000,"Equity","Vanguard Large-Cap Index Fund;ETF","2017/06"
"84",19.4016364928396,15.2628720573024,53347814525.6,"Equity","Nomura Nikkei 225 ETF","2017/06"
